temp;r_ntc;u_adc;adc;resolution
-40;3138,25932884;3,25130694741;4037;0
-35;2284,73185592;3,2334829176;4014;4,6
-30;1681,02023151;3,21024410642;3986;5,6
-25;1249,2921413;3,18035104506;3948;7,6
-20;937,318550892;3,14242905931;3901;9,4
-15;709,637498863;3,09501412469;3843;11,6
-10;541,901006999;3,03662806116;3770;14,6
-5;417,213227554;2,96588629795;3682;17,6
0;323,730200248;2,8816364572;3578;20,8
5;253,068705933;2,78311837611;3455;24,6
10;199,240057623;2,67012685305;3315;28,0
15;157,928257457;2,54314976409;3157;31,6
20;125,996464574;2,4034498862;2984;34,6
25;101,146370296;2,25306243622;2797;37,4
30;81,6809775241;2,09469364482;2601;39,2
35;66,3379600272;1,93152645448;2398;40,6
40;54,1716279096;1,76696150685;2194;40,8
45;44,4686539478;1,60433713293;1992;40,4
50;36,687442827;1,44667535821;1796;39,2
55;30,4141887437;1,29649130842;1610;37,2
60;25,3308022209;1,15568533408;1435;35,0
65;21,191340477;1,02551765495;1273;32,4
70;17,8045730477;0,906650384288;1126;29,4
75;15,0210040309;0,799234292907;992;26,8
80;12,7231528144;0,703017210396;873;23,8
85;10,8182323135;0,617455172981;767;21,2
90;9,23260199363;0,541813565419;673;18,8
95;7,9075424333;0,475251465891;590;16,6
100;6,79601952899;0,416887060456;518;14,4
105;5,86019387252;0,365845040712;454;12,8
110;5,06949420509;0,321288522814;399;11,0
115;4,39912005882;0,282438613297;351;9,6
120;3,82887257852;0,24858468953;309;8,4
125;3,34223749786;0,219088071789;272;7,4
130;2,92566276062;0,193381250768;240;6,4
135;2,56798707409;0,170964322836;212;5,6
140;2,25998601211;0,151399836738;188;4,8
145;1,99401005846;0,134306891497;167;4,2
150;1,76369485724;0,119355045715;148;3,8
155;1,56372840004;0,106258392634;132;3,2
160;1,38966328334;0,0947700092098;118;2,8
165;1,23776477821;0,0846768872243;105;2,6
170;1,1048874601;0,0757953881787;94;2,2
175;0,988374697041;0,067967221662;84;2,0
180;0,885976495922;0,0610559218061;76;1,6
185;0,79578214276;0,0549437827644;68;1,6
190;0,716164803753;0,049529208018;61;1,4
195;0,645735827595;0,0447244269408;56;1,0
200;0,583306940855;0,0404535335725;50;1,2
205;0,527858884754;0,0366508056656;46;0,8
210;0,478515324208;0,0332592659881;41;1,0
215;0,434521084646;0,0302294520224;38;0,6
220;0,395223951286;0,0275183643099;34;0,8
225;0,360059408935;0,0250885675464;31;0,6
230;0,32853781543;0,0229074220536;28;0,6
235;0,300233594478;0,0209464264018;26;0,4
240;0,274776108405;0,019180654725;24;0,4
245;0,2518419319;0,017588274685;22;0,4
250;0,231148296939;0,0161501341256;20;0,4
255;0,212447519138;0,0148494062476;18;0,4
260;0,195522248379;0,0136712846667;17;0,2
265;0,18018141333;0,0126027210192;16;0,2
270;0,166256751352;0,0116321988907;14;0,4
275;0,153599833358;0,0107495387812;13;0,2
280;0,142079508001;0,00994572961773;12;0,2
285;0,131579701903;0,0092127830008;11;0,2
290;0,121997522748;0,00854360694012;11;0,0
295;0,113241620567;0,00793189632082;10;0,2
300;0,105230769509;0,00737203774842;9;0,2
305;0,0978926382832;0,00685902676826;9;0,0
310;0,0911627223423;0,00638839574855;8;0,2
315;0,0849834149672;0,00595615096474;7;0,2
