temp_measured;r_ntc
-30;1733,2
-25;1283
-20;959,05
-15;724,8
-10;551,41
-5;423,7
0;327,24
5;254,8
10;199,99
15;157,6
20;125,245
25;100
30;81
35;65,65
40;53,5
45;43,78
50;35,899
55;29,99
60;25
65;20,9
70;17,55
75;14,76
80;12,54
85;10,66
90;9,1
95;7,784
100;6,71
105;5,85
110;5,07
115;4,41
120;3,85
125;3,34
130;2,94
135;2,58
140;2,271
145;2
150;1,77
155;1,589
160;1,414
165;1,259
170;1,122
175;0,997
180;0,896
185;0,797
190;0,719
195;0,643
200;0,582
205;0,533
210;0,483
215;0,437
220;0,396
225;0,36
230;0,328
235;0,2993
240;0,2737
245;0,2507
250;0,23
255;0,2114
260;0,1946
265;0,1794
270;0,1656
275;0,1531
280;0,1417
285;0,1314
290;0,122
295;0,1134
300;0,1056
