temp_measured;r_ntc
-18;980,1
-17;922,956
-16;869,458
-15;819,378
-14;772,463
-13;728,492
-12;687,276
-11;648,624
-10;612,366
-9;578,321
-8;546,376
-7;516,372
-6;488,178
-5;461,683
-4;436,773
-3;413,344
-2;391,294
-1;370,547
0;351,017
1;332,619
2;315,288
3;298,959
4;283,558
5;269,041
6;255,337
7;242,414
8;230,21
9;218,688
10;207,807
11;197,521
12;187,803
13;178,613
14;169,924
15;161,702
16;153,923
17;146,56
18;139,588
19;132,984
20;126,729
21;120,799
22;115,179
23;109,85
24;104,796
25;100
26;95,449
27;91,128
28;87,026
29;83,129
30;79,428
31;75,912
32;72,567
33;69,389
34;66,365
35;63,489
36;60,752
37;58,149
38;55,668
39;53,307
40;51,058
41;48,915
42;46,873
43;44,927
44;43,071
45;41,301
46;39,613
47;38,003
48;36,465
49;34,999
50;33,598
51;32,26
52;30,983
53;29,761
54;28,595
55;27,479
56;26,413
57;25,394
58;24,419
59;23,486
60;22,593
61;21,739
62;20,921
63;20,138
64;19,388
65;18,669
66;17,981
67;17,321
68;16,689
69;16,083
70;15,502
71;14,944
72;14,41
73;13,897
74;13,405
75;12,932
76;12,479
77;12,043
78;11,625
79;11,223
80;10,837
81;10,466
82;10,11
83;9,7676
84;9,4381
85;9,1214
86;8,8169
87;8,5238
88;8,2419
89;7,9707
90;7,7097
91;7,4583
92;7,2163
93;6,9834
94;6,7589
95;6,5427
96;6,3345
97;6,1338
98;5,9405
99;5,754
100;5,5743
101;5,4011
102;5,2341
103;5,0729
104;4,9173
105;4,7673
106;4,6226
107;4,4829
108;4,3481
109;4,2178
110;4,0921
111;3,9707
112;3,8535
113;3,7402
114;3,6307
115;3,525
116;3,4228
117;3,324
118;3,2285
119;3,1362
120;3,0469
121;2,9606
122;2,877
123;2,7962
124;2,718
125;2,6424
126;2,5692
127;2,4983
128;2,4297
129;2,3633
130;2,2989
131;2,2367
132;2,1763
133;2,1179
134;2,0613
135;2,0064
136;1,9532
137;1,9016
138;1,8517
139;1,8033
140;1,7563
141;1,7108
142;1,6666
143;1,6238
144;1,5822
145;1,5419
146;1,5028
147;1,4648
148;1,428
149;1,3922
150;1,3575
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
