temp_measured;r_ntc;temp_calc;temp_diff
-18,0;980,1;-17,8596293671;-0,140370632882
-17,0;922,956;-16,8700370342;-0,12996296581
-16,0;869,458;-15,8799138954;-0,120086104631
-15,0;819,378;-14,8897431565;-0,110256843485
-14,0;772,463;-13,8991869523;-0,100813047675
-13,0;728,492;-12,9081477982;-0,0918522017718
-12,0;687,276;-11,9169008246;-0,0830991754432
-11,0;648,624;-10,9253546308;-0,0746453691527
-10,0;612,366;-9,93359874867;-0,0664012513348
-9,0;578,321;-8,94103651501;-0,058963484992
-8,0;546,376;-7,9487213574;-0,0512786426043
-7,0;516,372;-6,9560579692;-0,0439420308011
-6,0;488,178;-5,96294030587;-0,0370596941338
-5,0;461,683;-4,96965702235;-0,0303429776497
-4,0;436,773;-3,97610405758;-0,0238959424193
-3,0;413,344;-2,98224360038;-0,017756399623
-2,0;391,294;-1,98778518008;-0,0122148199249
-1,0;370,547;-0,993320946622;-0,00667905337843
0,0;351,017;0,0012509234445;-0,0012509234445
1,0;332,619;0,996328216542;0,00367178345795
2,0;315,288;1,99154136656;0,00845863344477
3,0;298,959;2,98673321789;0,0132667821064
4,0;283,558;3,98261492577;0,0173850742277
5,0;269,041;4,97825618149;0,021743818505
6,0;255,337;5,97480804965;0,0251919503475
7,0;242,414;6,97090283327;0,0290971667282
8,0;230,21;7,96763858278;0,0323614172158
9,0;218,688;8,96444329925;0,0355567007536
10,0;207,807;9,96125349167;0,0387465083347
11,0;197,521;10,9587645276;0,0412354724486
12,0;187,803;11,9560989555;0,0439010445121
13,0;178,613;12,9538799475;0,0461200524789
14,0;169,924;13,9516057731;0,0483942269236
15,0;161,702;14,9497828634;0,0502171365538
16,0;153,923;15,9479693002;0,0520306997702
17,0;146,56;16,9462822418;0,0537177581519
18,0;139,588;17,944817121;0,055182878972
19,0;132,984;18,9436196649;0,0563803350817
20,0;126,729;19,9423235131;0,057676486907
21,0;120,799;20,9415762815;0,0584237185223
22,0;115,179;21,9407573379;0,0592426621008
23,0;109,85;22,9400971745;0,0599028254974
24,0;104,796;23,9394925326;0,0605074674064
25,0;100,0;24,9392490039;0,0607509960931
26,0;95,449;25,9390514087;0,0609485913307
27,0;91,128;26,9391987767;0,0608012232613
28,0;87,026;27,9392620867;0,0607379133467
29,0;83,129;28,9397122532;0,0602877468448
30,0;79,428;29,9399379723;0,0600620277407
31,0;75,912;30,9399769639;0,0600230360965
32,0;72,567;31,9409971475;0,059002852474
33,0;69,389;32,9413770544;0,0586229455918
34,0;66,365;33,9423901994;0,0576098006098
35,0;63,489;34,943272697;0,0567273030375
36,0;60,752;35,9444042891;0,0555957109116
37,0;58,149;36,9448505555;0,0551494445417
38,0;55,668;37,946561095;0,0534389049766
39,0;53,307;38,9477190911;0,0522809089073
40,0;51,058;39,9490357311;0,0509642689285
41,0;48,915;40,9505865603;0,0494134397351
42,0;46,873;41,9521259107;0,0478740892719
43,0;44,927;42,9535225495;0,0464774504887
44,0;43,071;43,9553366218;0,0446633781828
45,0;41,301;44,9572414247;0,0427585752643
46,0;39,613;45,9589995331;0,0410004668744
47,0;38,003;46,9604832255;0,0395167745251
48,0;36,465;47,9630315781;0,0369684219269
49,0;34,999;48,9642003279;0,0357996721243
50,0;33,598;49,9663409157;0,0336590843252
51,0;32,26;50,9685830209;0,0314169790755
52,0;30,983;51,9700239425;0,0299760574987
53,0;29,761;52,9730937271;0,026906272928
54,0;28,595;53,9746745281;0,0253254719202
55,0;27,479;54,9776235547;0,0223764453206
56,0;26,413;55,9797122371;0,020287762879
57,0;25,394;56,9814365409;0,0185634590656
58,0;24,419;57,9835277291;0,0164722709019
59,0;23,486;58,9858866941;0,0141133058539
60,0;22,593;59,9885203663;0,0114796336642
61,0;21,739;60,9903612973;0,00963870271033
62,0;20,921;61,9927787743;0,00722122565287
63,0;20,138;62,9949028262;0,00509717382891
64,0;19,388;63,9971897714;0,00281022861969
65,0;18,669;65,0002998057;-0,00029980571253
66,0;17,981;66,0021490832;-0,00214908322175
67,0;17,321;67,0050548532;-0,00505485320025
68,0;16,689;68,0070078541;-0,00700785413881
69,0;16,083;69,0091311817;-0,00913118173372
70,0;15,502;70,0111025359;-0,0111025359076
71,0;14,944;71,0144887321;-0,0144887321367
72,0;14,41;72,0154905448;-0,0154905448189
73,0;13,897;73,0177365345;-0,0177365345318
74,0;13,405;74,0193634441;-0,0193634440852
75,0;12,932;75,0226157468;-0,022615746792
76,0;12,479;76,0234558838;-0,0234558837731
77,0;12,043;77,0266532755;-0,0266532755002
78,0;11,625;78,0281109087;-0,0281109086754
79,0;11,223;79,030766412;-0,0307664120334
80,0;10,837;80,0328559382;-0,0328559382421
81,0;10,466;81,0351675281;-0,0351675280773
82,0;10,11;82,0358499004;-0,0358499003635
83,0;9,7676;83,0370202491;-0,0370202491184
84,0;9,4381;84,0390724404;-0,0390724403734
85,0;9,1214;85,0406128777;-0,0406128776824
86,0;8,8169;86,0417830897;-0,0417830896812
87,0;8,5238;87,0435372089;-0,0435372089167
88,0;8,2419;88,0448967507;-0,0448967506736
89,0;7,9707;89,0459385888;-0,0459385887792
90,0;7,7097;90,0468399732;-0,046839973195
91,0;7,4583;91,048297917;-0,0482979170339
92,0;7,2163;92,0495135813;-0,0495135812758
93,0;6,9834;93,0500787579;-0,0500787579306
94,0;6,7589;94,0514231761;-0,051423176075
95,0;6,5427;95,0524483811;-0,0524483810606
96,0;6,3345;96,052939015;-0,0529390149642
97,0;6,1338;97,0537430787;-0,0537430786804
98,0;5,9405;98,0538083395;-0,0538083395272
99,0;5,754;99,0547303864;-0,0547303864126
100,0;5,5743;100,055020693;-0,0550206926634
101,0;5,4011;101,054798917;-0,0547989173916
102,0;5,2341;102,05427987;-0,0542798702223
103,0;5,0729;103,054416785;-0,0544167854952
104,0;4,9173;104,055064629;-0,0550646289528
105,0;4,7673;105,054763197;-0,0547631970339
106,0;4,6226;106,054013751;-0,0540137506499
107,0;4,4829;107,053465104;-0,0534651036152
108,0;4,3481;108,052420396;-0,0524203961055
109,0;4,2178;109,0524902;-0,0524902001561
110,0;4,0921;110,05153818;-0,0515381795441
111,0;3,9707;111,050529724;-0,0505297242944
112,0;3,8535;112,048903905;-0,0489039049853
113,0;3,7402;113,047877728;-0,0478777281201
114,0;3,6307;114,04704734;-0,0470473397266
115,0;3,525;115,045047721;-0,0450477211126
116,0;3,4228;116,043364177;-0,0433641768714
117,0;3,324;117,041698945;-0,04169894545
118,0;3,2285;118,039768894;-0,0397688941995
119,0;3,1362;119,037309418;-0,0373094179636
120,0;3,0469;120,035214938;-0,0352149382946
121,0;2,9606;121,032211218;-0,0322112177878
122,0;2,877;122,030547275;-0,0305472753697
123,0;2,7962;123,027815476;-0,0278154762914
124,0;2,718;124,025220407;-0,0252204073757
125,0;2,6424;125,021508526;-0,021508525536
126,0;2,5692;126,018079595;-0,0180795954915
127,0;2,4983;127,015148097;-0,0151480969034
128,0;2,4297;128,011529313;-0,0115293132525
129,0;2,3633;129,007454936;-0,00745493635031
130,0;2,2989;130,004815142;-0,00481514204364
131,0;2,2367;130,999298642;0,000701358442086
132,0;2,1763;131,996138295;0,0038617047436
133,0;2,1179;132,990922728;0,00907727198097
134,0;2,0613;133,985851139;0,0141488607841
135,0;2,0064;134,981620721;0,0183792790997
136,0;1,9532;135,977161146;0,0228388542985
137,0;1,9016;136,973267552;0,0267324478152
138,0;1,8517;137,966837078;0,0331629217725
139,0;1,8033;138,96067591;0,0393240898204
140,0;1,7563;139,955849926;0,0441500736858
141,0;1,7108;140,949164978;0,0508350224241
142,0;1,6666;141,943922087;0,0560779134164
143,0;1,6238;142,936816383;0,0631836173733
144,0;1,5822;143,931452943;0,0685470566625
145,0;1,5419;144,924425517;0,0755744834797
146,0;1,5028;145,917098396;0,0829016042279
147,0;1,4648;146,911051472;0,0889485275886
