temp_measured;r_ntc;temp_calc;temp_diff
0,0;166,53;0,0788939878327;-0,0788939878327
5,0;128,7;5,12813255388;-0,128132553881
10,0;101,04;10,0174020468;-0,0174020468232
15,0;79,24;15,0792821117;-0,0792821116503
20,0;62,83;20,0599399496;-0,0599399495536
25,0;50,21;25,0155943709;-0,0155943709133
30,0;40,37;29,9774094533;0,022590546741
35,0;32,62;34,9661452052;0,0338547947705
40,0;26,5455;39,9257950828;0,0742049171561
45,0;21,702;44,9100984103;0,0899015897251
50,0;17,832;49,9039179815;0,0960820184947
55,0;14,725;54,9044245555;0,0955754445009
60,0;12,2285;59,8872110695;0,112788930495
65,0;10,1845;64,9233030601;0,0766969398676
70,0;8,524;69,9529728003;0,0470271997357
75,0;7,1715;74,9618789215;0,0381210785009
80,0;6,0605;79,9662012332;0,0337987668191
85,0;5,1445;84,9603064483;0,039693551677
90,0;4,3805;89,9815911395;0,0184088604575
95,0;3,7455;94,9930745615;0,00692543853199
100,0;3,2145;100,003784308;-0,00378430775197
105,0;2,7685;105,016220871;-0,0162208708762
110,0;2,3915;110,044758546;-0,0447585460847
115,0;2,0749;115,03662399;-0,0366239896654
120,0;1,8054;120,039658922;-0,0396589221597
125,0;1,5753;125,053688251;-0,0536882508198
130,0;1,3792;130,052699538;-0,0526995377253
135,0;1,2105;135,067671989;-0,0676719885997
140,0;1,0657;140,072220436;-0,0722204362412
145,0;0,9407;145,079408796;-0,0794087964974
150,0;0,8331;150,058748412;-0,0587484123845
155,0;0,7394;155,053034828;-0,0530348284877
160,0;0,6579;160,043739285;-0,0437392845126
165,0;0,5869;165,02470766;-0,0247076602067
170,0;0,5246;170,019407297;-0,0194072968873
175,0;0,47;175,010145353;-0,0101453525344
180,0;0,422;180,000067194;-6,71944890769e-05
185,0;0,3798;184,976972017;0,0230279833995
190,0;0,3425;189,955570258;0,0444297417747
195,0;0,3095;194,929482325;0,0705176750455
200,0;0,2804;199,86968509;0,130314910348
