temp_measured;r_ntc;temp_calc;temp_diff
0,0;557,5;0,111868763733;-0,111868763733
5,0;449,2;5,04244710112;-0,0424471011216
10,0;363,6;10,0113584142;-0,0113584141969
15,0;296,3;14,9624089235;0,0375910764994
20,0;242,6;19,9381040824;0,0618959175789
25,0;199,7;24,9176185923;0,0823814077021
30,0;165,1;29,9224252061;0,0775747938751
35,0;137,1;34,946033137;0,053966862995
40,0;114,5;39,9479563156;0,0520436844328
45,0;95,91;44,999598305;0,000401695017899
50,0;80,84;50,0027705594;-0,00277055943269
55,0;68,44;55,0029489351;-0,0029489351387
60,0;58,17;60,0101428663;-0,0101428663128
65,0;49,65;65,010518457;-0,0105184570341
70,0;42,53;70,0193474014;-0,0193474014175
75,0;36,5;75,0891952269;-0,0891952268906
80,0;31,49;80,104145227;-0,104145227036
85,0;27,36;84,99226105;0,00773894998605
90,0;23,68;90,1332351814;-0,133235181444
95,0;20,65;95,1206719738;-0,120671973847
100,0;18,04;100,155946725;-0,155946724908
105,0;15,92;104,917857756;0,0821422436621
110,0;14,02;109,863897443;0,136102557325
115,0;12,26;115,202976893;-0,202976893453
120,0;10,96;119,760665057;0,239334943432
125,0;9,74;124,656876419;0,343123581426
130,0;8,67;129,58620453;0,413795470012
135,0;7,6;135,290654594;-0,290654594295
140,0;6,79;140,279960938;-0,279960937528
