temp_measured;r_ntc;temp_calc;temp_diff
0,0;4578,2;0,355447786603;-0,355447786603
5,0;3310,2;5,27091699361;-0,270916993609
10,0;2414,6;10,2097329136;-0,209732913572
15,0;1786,1;15,0815556425;-0,0815556424707
20,0;1328,6;20,0142127585;-0,0142127585018
25,0;998,9;24,9172041014;0,0827958986189
30,0;754,9;29,8798951157;0,120104884295
35,0;574,9;34,8539787089;0,146021291073
40,0;441,4;39,8246263709;0,175373629141
45,0;341,2;44,8118893614;0,188110638613
50,0;265,82;49,788952141;0,211047859036
55,0;208,14;54,8065644797;0,193435520278
60,0;164,24;59,8044816502;0,195518349817
65,0;130,21;64,8413678622;0,15863213785
70,0;104,03;69,8464794826;0,153520517395
75,0;83,55;74,8687850936;0,131214906414
80,0;67,41;79,9195902996;0,0804097004162
85,0;54,78;84,9319343604;0,0680656395646
90,0;44,71;89,9687281863;0,031271813715
95,0;36,68;95,0054565393;-0,00545653925195
100,0;30,26;100,026430914;-0,0264309141191
105,0;25,081;105,049054278;-0,049054278374
110,0;20,881;110,075362883;-0,0753628834313
115,0;17,464;115,097262894;-0,097262893627
120,0;14,668;120,119955666;-0,119955665959
125,0;12,371;125,140925336;-0,140925336327
130,0;10,479;130,150428911;-0,150428910888
135,0;8,909;135,164037452;-0,16403745191
140,0;7,606;140,161386452;-0,161386451891
145,0;6,513;145,176513223;-0,176513223359
150,0;5,604;150,145506607;-0,145506606701
155,0;4,831;155,16136346;-0,161363460319
160,0;4,184;160,12749655;-0,127496550013
165,0;3,642;165,022375907;-0,0223759065696
170,0;3,166;170,070303557;-0,0703035572934
175,0;2,7673;175,024903512;-0,024903511983
180,0;2,4258;179,974794276;0,0252057238212
185,0;2,1318;184,930748962;0,0692510380163
190,0;1,8796;189,859457477;0,140542522924
195,0;1,6608;194,802069477;0,197930522781
200,0;1,4719;199,720755696;0,27924430397
