temp_measured;r_ntc;temp_calc;temp_diff
0,0;789,3;0,153107979024;-0,153107979024
5,0;608,7;5,08376989479;-0,0837698947852
10,0;472,7;10,0292143593;-0,0292143592535
15,0;369,5;14,9918782804;0,00812171960337
20,0;290,4;19,9902618811;0,00973811889344
25,0;230,35;24,9380837642;0,0619162357535
30,0;183,58;29,9250832324;0,0749167676187
35,0;147,19;34,9181921985;0,0818078015295
40,0;118,67;39,9228559252;0,0771440748142
45,0;96,29;44,9134451979;0,0865548021333
50,0;78,46;49,9373123133;0,0626876866896
55,0;64,31;54,9481419363;0,051858063658
60,0;53,04;59,9313048087;0,0686951913094
65,0;43,91;64,9448070048;0,0551929951522
70,0;36,45;70,0150384508;-0,0150384507646
75,0;30,44;75,047481406;-0,0474814060128
80,0;25,62;79,9824440237;0,0175559763412
85,0;21,59;85,0025658167;-0,00256581671209
90,0;18,17;90,1873536572;-0,187353657235
95,0;15,53;95,0213439052;-0,0213439051923
100,0;13,25;100,024473075;-0,024473075323
105,0;11,23;105,363262161;-0,363262161078
110,0;9,75;110,030512967;-0,0305129668313
115,0;8,41;115,021239069;-0,0212390687279
120,0;7,28;120,001929962;-0,00192996182233
125,0;6,33;124,935737254;0,0642627462576
130,0;5,52;129,872366923;0,127633076784
135,0;4,82;134,867591667;0,132408333378
