temp;Inkbird
20,00;60,75
25,00;48,59
30,00;39,12
35,00;31,7
40,00;25,864
45,00;21,228
50,00;17,522
55,00;14,526
60,00;12,115
65,00;10,14
70,00;8,54
75,00;7,221
80,00;6,126
85,00;5,221
90,00;4,468
95,00;3,839
100,00;3,31
105,00;2,863
110,00;2,4872
115,00;2,1658
120,00;1,8956
125,00;1,661
130,00;1,4604
135,00;1,2875
140,00;1,139
145,00;1,0096
150,00;0,8984
155,00;0,8005
160,00;0,7153
165,00;0,6405
170,00;0,5754
175,02;0,5171
180,00;0,4669
185,00;0,4217
190,00;0,3822
195,00;0,3463
200,00;0,3151
205,00;0,2868
210,00;0,26205
215,00;0,2393
220,00;0,21922
225,00;0,20093
230,00;0,18467
235,00;0,16986
240,00;0,15656
245,00;0,14447
250,00;0,13349
