temp_measured;r_ntc
0,01;3873
5,01;2914
9,98;2214
14,96;1692
19,95;1302
24,99;1004
29,97;784
35,00;614,3
39,97;485,1
44,99;384,7
49,99;307,4
54,99;246,3
59,98;199,3
64,99;161,3
70,00;131,6
74,98;107,95
79,99;88,87
84,99;73,52
89,99;61,11
94,98;51,05
99,99;42,7
105,00;35,98
109,97;30,45
114,98;25,79
119,99;21,96
125,00;18,74
129,98;16,04
134,99;13,78
139,97;11,87
144,98;10,26
149,99;8,89
155,00;7,72
159,99;6,73
165,00;5,874
170,00;5,147
175,01;4,519
180,00;3,98
185,00;3,514
190,00;3,108
195,01;2,755
200,01;2,448
