temp_measured;r_ntc;temp_calc;temp_diff
0,01;3873,0;0,133603641024;-0,123603641024
5,01;2914,0;5,07734116577;-0,0673411657722
9,98;2214,0;9,99142180583;-0,0114218058286
14,96;1692,0;14,9401081768;0,01989182324
19,95;1302,0;19,8999014551;0,0500985448976
24,99;1004,0;24,9597478865;0,0302521134962
29,97;784,0;29,9093810015;0,0606189985105
35,0;614,3;34,9243245263;0,075675473674
39,97;485,1;39,9102777857;0,0597222142544
44,99;384,7;44,9373514155;0,0526485845034
49,99;307,4;49,9279777941;0,0620222059271
54,99;246,3;54,9862841041;0,00371589592083
59,98;199,3;59,9428313577;0,0371686423113
64,99;161,3;65,0196010721;-0,029601072099
70,0;131,6;70,0251905079;-0,0251905078574
74,98;107,95;75,0168801948;-0,0368801947926
79,99;88,87;80,0358670211;-0,0458670210934
84,99;73,52;85,045606062;-0,055606062014
89,99;61,11;90,044857025;-0,0548570249563
94,98;51,05;95,0208403903;-0,0408403903285
99,99;42,7;100,075071784;-0,0850717839846
105,0;35,98;105,030103318;-0,0301033182674
109,97;30,45;109,965366864;0,00463313612599
114,98;25,79;114,985185916;-0,00518591620245
119,99;21,96;119,94918841;0,0408115899505
125,0;18,74;124,949951001;0,0500489994863
129,98;16,04;129,960712652;0,0192873484358
134,99;13,78;134,954684755;0,035315244682
139,97;11,87;139,96279199;0,00720800970285
144,98;10,26;144,955603276;0,0243967241512
149,99;8,89;149,96446469;0,0255353104614
155,0;7,72;154,995172601;0,00482739931573
159,99;6,73;159,984927357;0,00507264280014
165,0;5,874;165,028304531;-0,0283045313456
170,0;5,147;170,021756532;-0,0217565315573
175,01;4,519;175,034051492;-0,0240514922437
180,0;3,98;180,019205613;-0,0192056133219
185,0;3,514;184,998405633;0,00159436747481
190,0;3,108;189,998649093;0,0013509073907
195,01;2,755;194,999097744;0,0109022562578
200,01;2,448;199,988517457;0,0214825427551
