temp_measured;r_ntc;temp_calc;temp_diff
0,0;3867,0;0,176682443525;-0,176682443525
5,0;2906,0;5,15732293478;-0,157322934782
10,0;2204,0;10,1232800009;-0,123280000937
15,0;1697,0;14,9556211161;0,0443788838767
20,0;1305,0;19,9512456139;0,0487543861452
25,0;1008,0;25,0055089617;-0,00550896170421
30,0;789,0;29,9361756637;0,0638243362504
35,0;620,1;34,9195767253;0,0804232746732
40,0;490,4;39,907751674;0,0922483260168
45,0;389,5;44,9378141406;0,062185859363
50,0;311,8;49,9266822938;0,0733177061582
55,0;250,9;54,9274979116;0,0725020883528
60,0;203,1;59,9177195568;0,0822804431843
65,0;165,15;64,926603214;0,0733967860416
70,0;134,85;69,9595063291;0,0404936708656
75,0;110,8;74,9590944852;0,0409055148201
80,0;91,4;79,9787218496;0,0212781503868
85,0;75,875;84,9511474822;0,0488525177973
90,0;63,275;89,9171574148;0,0828425852084
95,0;52,78;94,9943482453;0,00565175472502
100,0;44,29;100,019730523;-0,0197305228414
105,0;37,31;105,047851853;-0,0478518529815
110,0;31,61;110,019129274;-0,0191292743179
115,0;26,83;115,045807775;-0,0458077746428
120,0;22,87;120,050948509;-0,0509485085686
125,0;19,55;125,075070373;-0,0750703727738
130,0;16,78;130,075352899;-0,0753528987134
135,0;14,445;135,08426367;-0,0842636700324
140,0;12,48;140,075694563;-0,0756945631936
145,0;10,815;145,065883394;-0,0658833935603
150,0;9,395;150,072625751;-0,0726257506705
155,0;8,185;155,077332439;-0,0773324394813
160,0;7,155;160,05791807;-0,0579180704313
165,0;6,27;165,045101663;-0,0451016625318
170,0;5,535;169,845959568;0,154040432179
175,0;4,8475;175,052839853;-0,0528398527701
180,0;4,282;180,018769033;-0,0187690327596
185,0;3,7915;184,982051575;0,0179484251756
190,0;3,3635;189,960977196;0,0390228038061
195,0;2,9915;194,924063826;0,0759361735543
200,0;2,667;199,875849142;0,124150858344
