temp_measured;r_ntc
0,01;688,25
0,01;688
5,01;533
9,98;413
14,96;323
19,95;254
24,99;200,1
29,97;159,55
29,97;159,44
35;127,55
39,97;102,75
44,99;83,05
49,99;67,54
54,99;55,265
59,98;45,43
64,99;37,47
70;31,08
74,98;25,905
79,99;21,685
84,99;18,22
89,99;15,385
94,98;13,035
99,99;11,085
105;9,455
109,97;8,105
114,98;6,965
119,99;6,005
125;5,188
129,98;4,502
134,99;3,919
139,97;3,4185
144,98;2,9875
149,99;2,617
155;2,2965
159,99;2,0215
165;1,783
170;1,5765
175,01;1,3965
180;1,2405
185;1,104
190;0,984
195,01;0,8795
200,01;0,787
