temp_measured;r_ntc;temp_calc;temp_diff
0,01;688,25;0,0519444542698;-0,0419444542698
0,01;688,0;0,0587721146196;-0,0487721146196
5,01;533,0;4,92456006574;0,0854399342596
9,98;413,0;9,92703902585;0,0529609741521
14,96;323,0;14,8857063668;0,0742936331743
19,95;254,0;19,8702609479;0,0797390521414
24,99;200,1;24,956112311;0,0338876889564
29,97;159,55;29,9177246693;0,052275330714
29,97;159,44;29,9330378854;0,0369621146048
35,0;127,55;34,9542434511;0,0457565488913
39,97;102,75;39,94831183;0,0216881699926
44,99;83,05;44,9938306903;-0,00383069026669
49,99;67,54;50,0209307966;-0,0309307965776
54,99;55,265;55,02260498;-0,0326049800038
59,98;45,43;60,0313799998;-0,0513799997526
64,99;37,47;65,076730021;-0,086730021003
70,0;31,08;70,0934841754;-0,0934841754221
74,98;25,905;75,097300261;-0,11730026105
79,99;21,685;80,0979096131;-0,107909613119
84,99;18,22;85,1081263381;-0,118126338068
89,99;15,385;90,0868350285;-0,0968350284505
94,98;13,035;95,0764997159;-0,0964997158944
99,99;11,085;100,063344597;-0,0733445965578
105,0;9,455;105,065961873;-0,0659618727566
109,97;8,105;110,016910023;-0,0469100232191
114,98;6,965;114,992324761;-0,0123247610371
119,99;6,005;119,963133247;0,0268667531078
125,0;5,188;124,967633272;0,0323667279435
129,98;4,502;129,921335216;0,058664784298
134,99;3,919;134,863702274;0,126297725714
139,97;3,4185;139,830884419;0,139115580567
144,98;2,9875;144,828007254;0,151992746356
149,99;2,617;149,835149739;0,154850261356
155,0;2,2965;154,872820185;0,127179814904
159,99;2,0215;159,886971659;0,103028341256
165,0;1,783;164,917412556;0,0825874438179
170,0;1,5765;169,943680303;0,0563196974479
175,01;1,3965;174,987877414;0,0221225864702
180,0;1,2405;180,00835827;-0,00835826991403
185,0;1,104;185,040401998;-0,040401997865
190,0;0,984;190,098588723;-0,0985887231759
195,01;0,8795;195,123365808;-0,113365807666
200,01;0,787;200,186160992;-0,176160991742
