temp_measured;r_ntc;temp_calc;temp_diff
0,0;722,9;0,127386524897;-0,127386524897
5,0;550,7;5,09596983062;-0,095969830622
10,0;422,7;10,0787383819;-0,078738381868
15,0;327,5;15,0339872484;-0,0339872483669
20,0;255,25;20,0213983399;-0,021398339886
25,0;200,82;24,9640718585;0,0359281415428
30,0;158,875;29,9344218906;0,0655781094264
35,0;126,32;34,9405472367;0,0594527632506
40,0;101,13;39,9359158787;0,064084121302
45,0;81,44;44,9370820738;0,0629179262205
50,0;65,98;49,9347055288;0,0652944712144
55,0;53,76;54,9307636193;0,0692363806911
60,0;44,02;59,9385717771;0,061428222903
65,0;36,23;64,9484485865;0,0515514135142
70,0;29,97;69,9567700147;0,0432299853192
75,0;24,9165;74,9592395909;0,0407604091262
80,0;20,8135;79,9582743829;0,0417256170573
85,0;17,4545;84,9720792518;0,0279207482048
90,0;14,702;89,9830984953;0,016901504684
95,0;12,4345;94,9949741596;0,00502584038645
100,0;10,559;100,005996086;-0,00599608553989
105,0;9,001;105,016615716;-0,0166157159033
110,0;7,702;110,024535772;-0,0245357721219
115,0;6,614;115,032679136;-0,0326791358734
120,0;5,7;120,0367051;-0,0367050995466
125,0;4,928;125,045448604;-0,0454486041482
130,0;4,2745;130,052489966;-0,0524899660649
135,0;3,7195;135,056676489;-0,0566764892063
140,0;3,2465;140,05855342;-0,0585534201766
145,0;2,842;145,058963393;-0,0589633929034
150,0;2,4953;150,053101134;-0,0531011343137
155,0;2,1969;155,046263954;-0,0462639535147
160,0;1,9387;160,051341209;-0,0513412090759
165,0;1,7159;165,040206758;-0,0402067575961
170,0;1,5225;170,027667389;-0,0276673886742
175,0;1,354;175,01912719;-0,0191271895582
180,0;1,2078;179,979482892;0,020517108297
185,0;1,0788;184,980550335;0,0194496646726
190,0;0,9663;189,952942056;0,0470579438393
195,0;0,8673;194,928270546;0,0717294536771
200,0;0,7803;199,887637689;0,112362311331
