temp_measured;r_ntc;temp_calc;temp_diff
0,0;323,35;0,226990929061;-0,226990929061
5,0;251,8;5,17821141117;-0,178211411171
10,0;197,8;10,1052683781;-0,105268378106
15,0;156,6;15,0179020487;-0,0179020486911
20,0;124,37;20,0108941139;-0,0108941138602
25,0;99,645;24,9564969748;0,0435030251673
30,0;80,25;29,9277533271;0,0722466728918
35,0;64,97;34,9188337421;0,0811662578598
40,0;52,91;39,909250855;0,0907491449916
45,0;43,325;44,9032869422;0,0967130577802
50,0;35,66;49,9032304778;0,0967695221942
55,0;29,525;54,8837526255;0,116247374483
60,0;24,5445;59,8887790753;0,111220924705
65,0;20,502;64,8938631196;0,106136880398
70,0;17,1975;69,9102828771;0,089717122876
75,0;14,4925;74,9212308766;0,0787691233666
80,0;12,2655;79,9312853645;0,0687146354572
85,0;10,4195;84,9529140857;0,0470859143124
90,0;8,886;89,9763687006;0,0236312994212
95,0;7,609;94,9921931433;0,00780685669065
100,0;6,5405;100,002887713;-0,00288771298733
105,0;5,64;105,025487015;-0,0254870146316
110,0;4,8815;110,038564249;-0,0385642494588
115,0;4,24;115,042756475;-0,0427564748273
120,0;3,6925;120,066820464;-0,066820464207
125,0;3,2275;125,06920301;-0,0692030098524
130,0;2,8291;130,075846339;-0,0758463389611
135,0;2,4859;135,099731851;-0,0997318511339
140,0;2,1915;140,10410769;-0,10410768976
145,0;1,9374;145,103104596;-0,103104596226
150,0;1,7175;150,094750763;-0,0947507629659
155,0;1,5263;155,088265983;-0,0882659825317
160,0;1,3594;160,090561322;-0,0905613221323
165,0;1,2141;165,074677074;-0,0746770744763
170,0;1,087;170,0500314;-0,0500314002944
175,0;0,9752;175,032011817;-0,0320118174986
180,0;0,8775;179,974351345;0,0256486550337
185,0;0,7903;184,971344326;0,0286556735404
190,0;0,7138;189,9272783;0,0727216999604
195,0;0,6461;194,87157056;0,128429439859
200,0;0,5862;199,790848932;0,209151068403
