temp_measured;r_ntc;temp_calc;temp_diff
0,0;322,45;0,161706176835;-0,161706176835
5,0;250,6;5,08257257303;-0,0825725730321
10,0;195,8;10,0509923493;-0,0509923493381
15,0;154,1;15,0229444372;-0,0229444371758
20,0;121,96;20,0280888269;-0,0280888269462
25,0;97,31;25,0055985742;-0,00559857422928
30,0;78,185;29,9724839963;0,0275160037299
35,0;63,14;34,9653636579;0,0346363421121
40,0;51,315;39,9495165023;0,0504834976876
45,0;41,93;44,9419703776;0,058029622422
50,0;34,45;49,9347374613;0,0652625386556
55,0;28,46;54,9220243818;0,0779756182173
60,0;23,6235;59,9174659134;0,0825340866397
65,0;19,697;64,923627836;0,0763721640249
70,0;16,5015;69,9278941355;0,0721058645362
75,0;13,888;74,9297976506;0,0702023493748
80,0;11,7385;79,933407253;0,0665927469533
85,0;9,96;84,9467943377;0,0532056622997
90,0;8,485;89,9605147491;0,0394852509354
95,0;7,257;94,9722309528;0,0277690472108
100,0;6,2295;99,986429363;0,0135706370419
105,0;5,367;104,999374636;0,000625363801134
110,0;4,64;110,012476839;-0,012476839181
115,0;4,0255;115,020780407;-0,0207804067589
120,0;3,503;120,036260395;-0,0362603945202
125,0;3,0585;125,044142893;-0,0441428930732
130,0;2,6776;130,064401645;-0,0644016445073
135,0;2,3516;135,074914161;-0,0749141612877
140,0;2,0713;140,082070373;-0,0820703730923
145,0;1,8294;145,088995949;-0,0889959494579
150,0;1,6208;150,075815019;-0,0758150191072
155,0;1,4387;155,090042558;-0,0900425578963
160,0;1,2805;160,095118787;-0,095118786988
165,0;1,1427;165,089606881;-0,0896068807753
170,0;1,0226;170,061425749;-0,0614257493677
175,0;0,917;175,041107816;-0,0411078156119
180,0;0,8245;179,99696129;0,00303871025022
185,0;0,7426;184,970334141;0,0296658590391
190,0;0,6704;189,928641359;0,0713586412239
195,0;0,6065;194,879204363;0,120795636832
200,0;0,5499;199,814219541;0,185780458945
