temp_measured;r_ntc;temp_calc;temp_diff
-40,0;39,26;-39,5769903433;-0,423009656666
-30,0;22,96;-29,8832046195;-0,11679538055
-20,0;13,85;-20,0816019743;0,0816019742673
-10,0;8,609;-10,206423157;0,206423157048
0,0;5,499;-0,254277727085;0,254277727085
10,0;3,604;9,75605885083;0,243941149166
20,0;2,42;19,8064810687;0,193518931262
30,0;1,662;29,8876384982;0,112361501752
40,0;1,166;39,9803418307;0,0196581692634
50,0;0,835;50,052890232;-0,052890232033
60,0;0,609;60,1215997649;-0,121599764924
70,0;0,452;70,1633664623;-0,163366462285
80,0;0,34;80,2749006537;-0,274900653659
90,0;0,261;90,1575159218;-0,157515921827
100,0;0,202;100,222325125;-0,222325125484
110,0;0,159;110,089953103;-0,0899531031501
120,0;0,127;119,793463156;0,206536843889
130,0;0,102;129,698643157;0,301356842633
