temp_measured;r_ntc;temp_calc;temp_diff
0,0;327,6;0,272569122291;-0,272569122291
5,0;255,6;5,16878825829;-0,168788258293
10,0;200,1;10,1454097474;-0,145409747362
15,0;158,39;15,0400027166;-0,0400027166137
20,0;125,77;20,0108593055;-0,0108593055008
25,0;100,68;24,9468136925;0,0531863075393
30,0;81,0;29,9097994473;0,0902005526822
35,0;65,5;34,8937488656;0,106251134391
40,0;53,27;39,8790434818;0,120956518248
45,0;43,555;44,8696859539;0,13031404609
50,0;35,77;49,883345723;0,116654277021
55,0;29,54;54,886598309;0,113401691017
60,0;24,518;59,8872848947;0,112715105262
65,0;20,4205;64,9232427047;0,0767572952567
70,0;17,1185;69,9055759931;0,0944240069199
75,0;14,4045;74,905050945;0,0949490549659
80,0;12,1725;79,9031084012;0,0968915987707
85,0;10,3355;84,8791713775;0,120828622459
90,0;8,7735;89,9853019356;0,0146980643656
95,0;7,4955;95,010960475;-0,0109604749894
100,0;6,4305;100,019546587;-0,0195465867241
105,0;5,535;105,03568163;-0,0356816295497
110,0;4,779;110,062209145;-0,0622091451182
115,0;4,143;115,062106133;-0,0621061329786
120,0;3,601;120,081876466;-0,0818764655524
125,0;3,14;125,096097255;-0,0960972550797
130,0;2,7495;130,064043037;-0,0640430372688
135,0;2,4096;135,107982764;-0,107982764403
140,0;2,12;140,108151683;-0,108151683017
145,0;1,87;145,112394838;-0,112394838357
150,0;1,6546;150,095631023;-0,0956310230348
155,0;1,4671;155,094774268;-0,0947742684272
160,0;1,3036;160,107257354;-0,107257354114
165,0;1,162;165,084421725;-0,084421724828
170,0;1,0385;170,045450945;-0,0454509448387
175,0;0,9297;175,028484025;-0,0284840254583
180,0;0,8346;179,982396052;0,0176039478727
185,0;0,7505;184,952869617;0,0471303830073
190,0;0,6767;189,889640838;0,110359162203
195,0;0,6106;194,884915197;0,11508480255
200,0;0,5531;199,781521676;0,218478323923
