temp_measured;r_ntc;temp_calc;temp_diff
0,0;310,5;0,166450885231;-0,166450885231
5,0;245,6;5,10849230891;-0,108492308907
10,0;195,95;10,0140832179;-0,0140832178983
15,0;156,56;15,036524044;-0,0365240439941
20,0;126,063;20,0311760129;-0,0311760129425
25,0;102,315;24,9844701996;0,0155298003967
30,0;83,45;29,9608083984;0,0391916016106
35,0;68,42;34,947927864;0,0520721359683
40,0;56,42;39,9270249931;0,0729750068793
45,0;46,745;44,9186866467;0,0813133533143
50,0;38,9;49,9269572789;0,073042721053
55,0;32,53;54,9338706238;0,0661293762388
60,0;27,3465;59,9227540873;0,0772459126745
65,0;23,0605;64,9509953989;0,0490046010839
70,0;19,5595;69,933626194;0,0663738059686
75,0;16,6425;74,9451883514;0,0548116486201
80,0;14,2155;79,959851591;0,0401484089989
85,0;12,1945;84,9596186602;0,0403813397552
90,0;10,4915;89,9842971944;0,0157028056296
95,0;9,062;94,9959172886;0,00408271144232
100,0;7,8545;100,005724155;-0,00572415539472
105,0;6,8305;105,01492232;-0,0149223203164
110,0;5,958;110,029910612;-0,0299106116099
115,0;5,215;115,030152944;-0,0301529440148
120,0;4,577;120,040341693;-0,0403416932904
125,0;4,029;125,046506772;-0,0465067720763
130,0;3,556;130,057737344;-0,0577373439285
135,0;3,147;135,068456327;-0,0684563270734
140,0;2,7935;140,060656842;-0,0606568420886
145,0;2,4854;145,061538577;-0,0615385768201
150,0;2,218;150,035430291;-0,0354302907006
155,0;1,9814;155,067748257;-0,0677482565897
160,0;1,7756;160,06167412;-0,0616741200765
165,0;1,5947;165,054917664;-0,0549176637531
170,0;1,4356;170,037662454;-0,03766245413
175,0;1,2949;175,025532211;-0,0255322105667
180,0;1,1707;179,997645998;0,00235400198267
185,0;1,0603;184,977319839;0,0226801612736
190,0;0,9625;189,936476676;0,0635233243167
195,0;0,875;194,914011629;0,085988371275
200,0;0,7972;199,869055806;0,13094419377
