temp_measured;r_ntc;temp_calc;temp_diff
0,0;331,0;-0,12940357166;0,12940357166
5,0;256,0;4,89387092061;0,106129079389
10,0;199,0;9,96716842648;0,0328315735151
15,0;157,0;14,8827153633;0,117284636734
20,0;124,3;19,864409995;0,135590005029
25,0;98,57;24,9537531578;0,0462468422172
30,0;78,9;29,9766881386;0,0233118613998
35,0;63,6;34,9759417444;0,0240582555807
40,0;51,48;40,0128452534;-0,0128452534418
45,0;41,85;45,0804082669;-0,0804082669355
50,0;34,29;50,0851132597;-0,08511325973
55,0;28,07;55,2456225124;-0,245622512388
60,0;23,4;60,0570618336;-0,057061833577
65,0;19,425;65,1022923234;-0,10229232336
70,0;16,215;70,1197438857;-0,119743885665
75,0;13,615;75,0935280725;-0,0935280724771
80,0;11,46;80,1161694827;-0,116169482676
85,0;9,7;85,0925123504;-0,0925123503908
90,0;8,23;90,1129416345;-0,11294163448
95,0;7,015;95,1064458272;-0,106445827171
100,0;5,999;100,109840486;-0,109840485879
105,0;5,144;105,138930876;-0,138930875942
110,0;4,4375;110,07898266;-0,078982660465
115,0;3,836;115,056401736;-0,0564017355052
120,0;3,3275;120,021479046;-0,0214790462643
125,0;2,8945;124,993268303;0,00673169659188
130,0;2,528;129,923570052;0,0764299484691
135,0;2,21;134,92190688;0,0780931196593
140,0;1,9495;139,679910712;0,320089288133
145,0;1,706;144,845053586;0,154946414204
150,0;1,505;149,79822621;0,20177379014
155,0;1,331;154,749731273;0,250268727023
160,0;1,1785;159,751272277;0,248727722931
165,0;1,045;164,790601191;0,209398808641
170,0;0,929;169,819462443;0,180537556587
175,0;0,827;174,887140989;0,112859011316
180,0;0,738;179,944342492;0,0556575076938
185,0;0,6595;185,035242965;-0,0352429647566
190,0;0,59245;189,979783648;0,0202163522723
195,0;0,5281;195,384059855;-0,384059855382
200,0;0,47485;200,475826941;-0,475826940917
