temp_measured;r_ntc;temp_calc;temp_diff
0,0;325,9;0,20235822617;-0,20235822617
5,0;253,35;5,16112684752;-0,161126847521
10,0;198,51;10,1121832647;-0,112183264708
15,0;156,7;15,0573601574;-0,0573601573907
20,0;124,51;20,0081108623;-0,00811086234597
25,0;99,61;24,9522618312;0,0477381687588
30,0;80,11;29,9188404818;0,0811595182363
35,0;64,74;34,9134652421;0,0865347578755
40,0;52,62;39,9103540766;0,0896459233604
45,0;43,0;44,9124326987;0,0875673012936
50,0;35,345;49,9021819121;0,0978180878676
55,0;29,21;54,8849232478;0,115076752167
60,0;24,235;59,8943676778;0,105632322172
65,0;20,2025;64,9052233633;0,0947766367035
70,0;16,918;69,916833362;0,0831666379851
75,0;14,231;74,9267568036;0,0732431963511
80,0;12,0245;79,9296656302;0,0703343698112
85,0;10,1945;84,954068257;0,0459317429941
90,0;8,679;89,9722858612;0,0277141388296
95,0;7,416;94,9947370709;0,00526292912633
100,0;6,362;100,007482161;-0,00748216060418
105,0;5,4765;105,024015909;-0,0240159086312
110,0;4,73;110,043266707;-0,0432667069388
115,0;4,1005;115,047452651;-0,0474526514894
120,0;3,5655;120,057312176;-0,05731217599
125,0;3,1095;125,071109087;-0,0711090872358
130,0;2,72;130,083345784;-0,0833457840228
135,0;2,386;135,097714132;-0,0977141315168
140,0;2,0997;140,095913667;-0,0959136668952
145,0;1,8526;145,096322581;-0,0963225814554
150,0;1,6392;150,087213459;-0,0872134592033
155,0;1,4539;155,081387417;-0,0813874170246
160,0;1,2929;160,068262388;-0,0682623884761
165,0;1,1523;165,060030285;-0,0600302845438
170,0;1,0294;170,0489038;-0,0489038002921
175,0;0,9218;175,029924783;-0,0299247829586
180,0;0,8278;179,977959722;0,0220402782576
185,0;0,7442;184,971065978;0,0289340220176
190,0;0,6708;189,935248904;0,0647510958162
195,0;0,606;194,884453176;0,115546823939
200,0;0,5488;199,805194584;0,194805416455
